Addr,Name,bit[7],bit[6],bit[5],bit[4],bit[3],bit[2],bit[1],bit[0]
0,clkgen_reset,-,-,-,-,srst_dco_wo,srst_dlc_wo,srst_rfdc_1_wo,srst_rfdc_0_wo
1,clkgen_gate,-,-,clk_step_wo,gate_dco_fast_rw,gate_dco_slow_rw,gate_dlc_rw,gate_rfdc_1_rw,gate_rfdc_0_rw
2,clkgen_clk_sel,-,clkgen_clk_dco_pol_rw,clkgen_clkf_sel_rw[1],clkgen_clkf_sel_rw[0],clkgen_clkv_sel_rw[1],clkgen_clkv_sel_rw[0],clkgen_clkr_sel_rw[1],clkgen_clkr_sel_rw[0]
3,clkgen_rfdc_del,clkgen_rfdc_del_1_rw[3],clkgen_rfdc_del_1_rw[2],clkgen_rfdc_del_1_rw[1],clkgen_rfdc_del_1_rw[0],clkgen_rfdc_del_0_rw[3],clkgen_rfdc_del_0_rw[2],clkgen_rfdc_del_0_rw[1],clkgen_rfdc_del_0_rw[0]
4,clkgen_dlc_dco_del,clkgen_dco_del_rw[3],clkgen_dco_del_rw[2],clkgen_dco_del_rw[1],clkgen_dco_del_rw[0],clkgen_dlc_del_rw[3],clkgen_dlc_del_rw[2],clkgen_dlc_del_rw[1],clkgen_dlc_del_rw[0]
5,enable,-,ena_ext_osc_rw,ena_fbdiv_1_rw,ena_fbdiv_0_rw,ena_dco_rw,ena_dlc_rw,ena_rfdc_1_rw,ena_rfdc_0_rw
6,ldo_dig_xo_dco_config,ldo_dig_trim_rw[2],ldo_dig_trim_rw[1],ldo_dig_trim_rw[0],ldo_xo_dis_rw,ldo_xo_byp_rw,ldo_dig_byp_rw,ldo_dco_dis_rw,ldo_dco_byp_rw
7,ldo_rfdc_config,ldo_dmro_byp_1_rw,ldo_sync_byp_1_rw,ldo_pfd_byp_1_rw,ldo_rfdc_dis_1_rw,ldo_dmro_byp_0_rw,ldo_sync_byp_0_rw,ldo_pfd_byp_0_rw,ldo_rfdc_dis_0_rw
8,ldo_xo_osc_trim,-,-,ldo_osc_trim_rw[2],ldo_osc_trim_rw[1],ldo_osc_trim_rw[0],ldo_xo_trim_rw[2],ldo_xo_trim_rw[1],ldo_xo_trim_rw[0]
9,ldo_fce_rfdiv_trim,-,-,ldo_rfdiv_trim_rw[2],ldo_rfdiv_trim_rw[1],ldo_rfdiv_trim_rw[0],ldo_fce_trim_rw[2],ldo_fce_trim_rw[1],ldo_fce_trim_rw[0]
10,ldo_dmro_trim,-,ldo_dmro_trim_1_rw[2],ldo_dmro_trim_1_rw[1],ldo_dmro_trim_1_rw[0],-,ldo_dmro_trim_0_rw[2],ldo_dmro_trim_0_rw[1],ldo_dmro_trim_0_rw[0]
11,ldo_pfd_trim,-,ldo_pfd_trim_1_rw[2],ldo_pfd_trim_1_rw[1],ldo_pfd_trim_1_rw[0],-,ldo_pfd_trim_0_rw[2],ldo_pfd_trim_0_rw[1],ldo_pfd_trim_0_rw[0]
12,ldo_sync_trim,-,ldo_sync_trim_1_rw[2],ldo_sync_trim_1_rw[1],ldo_sync_trim_1_rw[0],-,ldo_sync_trim_0_rw[2],ldo_sync_trim_0_rw[1],ldo_sync_trim_0_rw[0]
13,ref_config,-,-,-,ref_pol_1_rw,ref_pol_0_rw,ref_clk_sel_rw[1],ref_clk_sel_rw[0],ibias_sel_ext_rw
14,dco_config_ana,dco_byp_agc_rw,dco_amp_trim_rw[2],dco_amp_trim_rw[1],dco_amp_trim_rw[0],dco_ena_div_buffer_rw,dco_buffer_bias_rw[2],dco_buffer_bias_rw[1],dco_buffer_bias_rw[0]
15,dco_config_dig,-,-,-,-,dco_requant_type_rw[1],dco_requant_type_rw[0],dco_ena_fce_dem_rw,dco_pol_rw
16,dco_tune,-,dco_tune_rw[6],dco_tune_rw[5],dco_tune_rw[4],dco_tune_rw[3],dco_tune_rw[2],dco_tune_rw[1],dco_tune_rw[0]
17,fdelta_cal_knorm_msb_config_0,fdelta_byp_knorm_0_rw[9],fdelta_byp_knorm_0_rw[8],-,fdelta_del_v_0_rw,fdelta_cal_gain_0_rw[2],fdelta_cal_gain_0_rw[1],fdelta_cal_gain_0_rw[0],fdelta_ena_cal_0_rw
18,fdelta_cal_knorm_lsb_0,fdelta_byp_knorm_0_rw[7],fdelta_byp_knorm_0_rw[6],fdelta_byp_knorm_0_rw[5],fdelta_byp_knorm_0_rw[4],fdelta_byp_knorm_0_rw[3],fdelta_byp_knorm_0_rw[2],fdelta_byp_knorm_0_rw[1],fdelta_byp_knorm_0_rw[0]
19,fdelta_cal_knorm_msb_config_1,fdelta_byp_knorm_1_rw[9],fdelta_byp_knorm_1_rw[8],-,fdelta_del_v_1_rw,fdelta_cal_gain_1_rw[2],fdelta_cal_gain_1_rw[1],fdelta_cal_gain_1_rw[0],fdelta_ena_cal_1_rw
20,fdelta_cal_knorm_lsb_1,fdelta_byp_knorm_1_rw[7],fdelta_byp_knorm_1_rw[6],fdelta_byp_knorm_1_rw[5],fdelta_byp_knorm_1_rw[4],fdelta_byp_knorm_1_rw[3],fdelta_byp_knorm_1_rw[2],fdelta_byp_knorm_1_rw[1],fdelta_byp_knorm_1_rw[0]
21,dcycle_cal_config_0,-,-,-,dcycle_hyst_0_rw[3],dcycle_hyst_0_rw[2],dcycle_hyst_0_rw[1],dcycle_hyst_0_rw[0],dcycle_ena_cal_0_rw
22,dcycle_cal_target_0,dcycle_target_0_rw[7],dcycle_target_0_rw[6],dcycle_target_0_rw[5],dcycle_target_0_rw[4],dcycle_target_0_rw[3],dcycle_target_0_rw[2],dcycle_target_0_rw[1],dcycle_target_0_rw[0]
23,dcycle_cal_m_0,-,dcycle_byp_m_0_rw[6],dcycle_byp_m_0_rw[5],dcycle_byp_m_0_rw[4],dcycle_byp_m_0_rw[3],dcycle_byp_m_0_rw[2],dcycle_byp_m_0_rw[1],dcycle_byp_m_0_rw[0]
24,dcycle_cal_config_1,-,-,-,dcycle_hyst_1_rw[3],dcycle_hyst_1_rw[2],dcycle_hyst_1_rw[1],dcycle_hyst_1_rw[0],dcycle_ena_cal_1_rw
